time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450250000	14.8158	20.3928	4.8604	2.72985	0.51425	radar	1.85689	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6018	20.5062	4.86293	2.7493	0.509367	lidar	0.768519	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3594	20.6012	4.92789	2.77724	0.513068	radar	0.946017	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1141	20.6739	4.94613	2.80779	0.516826	lidar	0.549196	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8722	20.7512	4.98586	2.83631	0.52074	radar	0.212654	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.5902	20.8199	5.08455	2.86743	0.524311	lidar	1.30244	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3307	20.8631	5.17631	2.90638	0.540017	radar	2.36277	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.0972	20.8983	5.11092	2.93808	0.544012	lidar	0.290786	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8612	20.9576	5.08185	2.961	0.540619	radar	1.81634	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6918	20.9866	4.87728	2.98707	0.54112	lidar	2.30164	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4271	21.0328	4.96792	3.01295	0.541049	radar	2.55029	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1846	21.0687	4.96287	3.03774	0.53931	lidar	0.113703	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9411	21.0914	4.9936	3.06613	0.542362	radar	1.07725	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7091	21.0616	4.92789	3.10619	0.553068	lidar	2.12586	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4543	21.0521	4.96624	3.13923	0.558245	radar	1.20852	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2563	21.0407	4.84298	3.16957	0.561222	lidar	0.768222	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	10.9892	21.0081	4.92789	3.20512	0.567838	radar	4.36617	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7961	20.9673	4.79879	3.24093	0.574949	lidar	0.725662	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5553	20.9569	4.68712	3.26166	0.564651	radar	4.83448	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2611	20.9846	4.83596	3.26986	0.547167	lidar	3.25334	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0267	20.9628	4.81732	3.29353	0.544067	radar	0.973597	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.85229	20.9204	4.67205	3.32502	0.549021	lidar	1.47478	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.64651	20.8952	4.47044	3.34451	0.539137	radar	1.80899	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.462	20.8461	4.39417	3.37428	0.542211	lidar	0.419126	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.2547	20.7987	4.41763	3.40073	0.542757	radar	1.3746	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
